our_faction,barb_faction,budget,spacing,scenario,mix,margin,sd,sem,wins_of
Armada,Armada,3000,160,base6-out,t1+fido,-0.294,0.009,0.002,0/24
Armada,Armada,3000,160,base6-out,t1+sptk,-0.25,0.021,0.004,0/24
Armada,Armada,3000,160,base6-out,t1+snipe,-0.343,0.101,0.021,0/24
Armada,Armada,3000,160,base6-out,t1+fboy,0.335,0.072,0.015,24/24
Armada,Armada,3000,160,base6-out,zeus+fido,-0.246,0.016,0.003,0/24
Armada,Armada,3000,160,base6-out,zeus+sptk,-0.215,0.019,0.004,0/24
Armada,Armada,3000,160,base6-out,zeus+snipe,-0.26,0.0,0.0,0/24
Armada,Armada,3000,160,base6-out,mace+zeus,-0.258,0.012,0.002,0/24
Armada,Armada,3000,160,base6-out,t1+zeus+fido,-0.276,0.009,0.002,0/24
Armada,Armada,3000,160,base6-out,t1+zeus(25),-0.302,0.015,0.003,0/24
Armada,Armada,3000,160,base6-out,t1+zeus(75),-0.252,0.008,0.002,0/24
Armada,Armada,3000,56,base12-hold,t1-line,-0.596,0.01,0.002,0/24
Armada,Armada,3000,56,base12-hold,t1-mace,-0.575,0.005,0.001,0/24
Armada,Armada,3000,56,base12-hold,zeus,-0.714,0.006,0.001,0/24
Armada,Armada,3000,56,base12-hold,mav,-0.653,0.005,0.001,0/24
Armada,Armada,3000,56,base12-hold,fido,-0.461,0.003,0.001,0/24
Armada,Armada,3000,56,base12-hold,sptk,0.55,0.025,0.005,24/24
Armada,Armada,3000,56,base12-hold,snipe,-0.49,0.0,0.0,0/24
Armada,Armada,3000,56,base12-hold,fboy,1.0,0.0,0.0,24/24
Armada,Armada,3000,56,base12-hold,fast,-0.794,0.005,0.001,0/24
Armada,Armada,3000,56,base12-hold,amph,-0.756,0.009,0.002,0/24
Armada,Armada,3000,56,base12-hold,t1+zeus,-0.61,0.0,0.0,0/24
Armada,Armada,3000,56,base12-hold,t1+mav,-0.61,0.0,0.0,0/24
Armada,Armada,3000,56,base12-hold,t1+fido,-0.51,0.0,0.0,0/24
Armada,Armada,3000,56,base12-hold,t1+sptk,0.08,0.053,0.011,18/24
Armada,Armada,3000,56,base12-hold,t1+snipe,-0.49,0.0,0.0,0/24
Armada,Armada,3000,56,base12-hold,t1+fboy,0.46,0.0,0.0,24/24
Armada,Armada,3000,56,base12-hold,zeus+fido,-0.54,0.0,0.0,0/24
Armada,Armada,3000,56,base12-hold,zeus+sptk,-0.25,0.0,0.0,0/24
Armada,Armada,3000,56,base12-hold,zeus+snipe,-0.49,0.0,0.0,0/24
Armada,Armada,3000,56,base12-hold,mace+zeus,-0.641,0.003,0.001,0/24
Armada,Armada,3000,56,base12-hold,t1+zeus+fido,-0.56,0.0,0.0,0/24
Armada,Armada,3000,56,base12-hold,t1+zeus(25),-0.61,0.0,0.0,0/24
Armada,Armada,3000,56,base12-hold,t1+zeus(75),-0.641,0.003,0.001,0/24
Armada,Armada,3000,160,base12-hold,t1-line,-0.393,0.021,0.004,0/24
Armada,Armada,3000,160,base12-hold,t1-mace,-0.399,0.012,0.003,0/24
Armada,Armada,3000,160,base12-hold,zeus,-0.36,0.008,0.002,0/24
Armada,Armada,3000,160,base12-hold,mav,-0.534,0.006,0.001,0/24
Armada,Armada,3000,160,base12-hold,fido,-0.4,0.0,0.0,0/24
Armada,Armada,3000,160,base12-hold,sptk,-0.25,0.0,0.0,0/24
Armada,Armada,3000,160,base12-hold,snipe,-0.39,0.0,0.0,0/24
Armada,Armada,3000,160,base12-hold,fboy,1.0,0.0,0.0,24/24
Armada,Armada,3000,160,base12-hold,fast,-0.567,0.006,0.001,0/24
Armada,Armada,3000,160,base12-hold,amph,-0.575,0.007,0.001,0/24
Armada,Armada,3000,160,base12-hold,t1+zeus,-0.404,0.011,0.002,0/24
Armada,Armada,3000,160,base12-hold,t1+mav,-0.49,0.0,0.0,0/24
Armada,Armada,3000,160,base12-hold,t1+fido,-0.5,0.006,0.001,0/24
