match,site,sequence,x,y,rep,x_end,x_team,n_x,n_y,metal_x,metal_y,winner,reason,seconds,contact_seconds,survivors_x,survivors_y,value_left_x,value_left_y,damage_taken_x,damage_taken_y
1,0,142,corstorm,armflash,2,west,1,11,11,1210,1210,y,wiped,23.5,7.5,0,8,0.000,0.441,8413,4787
0,0,147,armham,corak,1,east,0,9,27,1170,1161,x,wiped,24.0,8.0,4,0,0.325,0.000,6367,8982
1,1,142,armflash,armart,1,east,0,11,9,1210,1215,x,wiped,21.0,8.0,11,0,0.866,0.000,1155,5639
0,1,147,armjanus,cormist,1,east,0,5,8,1200,1240,x,wiped,57.0,8.5,1,0,0.011,0.000,5450,7940
1,0,143,armflash,corgator,3,east,1,11,10,1210,1200,x,wiped,27.5,6.0,2,0,0.098,0.000,7608,8610
1,1,143,corcrash,armstump,0,west,0,9,5,1125,1125,y,wiped,26.0,8.5,0,5,0.000,0.943,6116,533
0,0,148,armham,corthud,2,west,1,11,10,1430,1400,x,wiped,49.5,10.0,3,0,0.114,0.000,10441,11857
0,1,148,armjanus,armart,0,west,0,5,9,1200,1215,x,wiped,33.5,11.5,5,0,0.579,0.000,2288,6422
1,0,144,armpw,armjeth,1,east,0,23,10,1242,1250,x,wiped,16.0,7.5,23,0,0.878,0.000,1086,6362
1,0,145,corak,armstump,3,east,1,26,5,1118,1125,y,wiped,27.0,6.5,0,3,0.000,0.263,8524,6908
1,1,144,armart,corwolv,2,west,1,10,8,1350,1360,x,wiped,57.5,15.0,4,0,0.235,0.000,5763,6636
0,0,149,armham,corthud,0,west,0,11,10,1430,1400,x,wiped,44.5,10.0,3,0,0.106,0.000,10455,11914
0,1,149,armjanus,armllt,0,west,0,5,14,1200,1190,y,wiped,63.0,15.0,0,6,0.000,0.300,5308,7600
0,0,150,armham,corthud,3,east,1,11,10,1430,1400,x,wiped,44.5,10.0,4,0,0.157,0.000,9920,12022
1,1,145,armham,corllt,3,east,1,9,13,1170,1170,x,wiped,41.5,15.5,9,0,0.886,0.000,1023,9298
1,0,146,corlevlr,corllt,2,west,1,5,12,1100,1080,x,wiped,47.5,19.5,4,0,0.538,0.000,3303,9466
0,1,150,armjanus,corwolv,0,west,0,5,7,1200,1190,x,wiped,28.0,12.5,4,0,0.390,0.000,3349,6283
1,1,146,corwolv,corwolv,0,west,0,7,7,1190,1190,draw,wiped,57.5,15.5,0,0,0.000,0.000,6723,6761
1,0,147,armart,armllt,0,west,0,10,16,1350,1360,y,wiped,78.5,15.0,0,10,0.000,0.533,6380,5463
1,1,147,armwar,armjeth,3,east,1,5,11,1350,1375,x,wiped,19.0,8.5,5,0,1.000,0.000,0,7043
1,0,148,armrock,cormist,3,east,1,9,7,1080,1085,x,wiped,31.5,7.5,8,0,0.510,0.000,3280,6630
1,1,148,armart,cormist,3,east,1,8,7,1080,1085,y,wiped,45.5,8.0,0,3,0.000,0.401,5330,4049
1,0,149,corstorm,corcrash,2,west,1,8,7,880,875,x,wiped,25.0,10.0,8,0,1.000,0.000,0,5030
1,0,150,armjeth,armstump,2,west,1,9,5,1125,1125,y,wiped,27.5,9.0,0,5,0.000,0.963,6244,347
1,1,149,armflash,corllt,1,east,0,9,11,990,990,y,wiped,55.5,8.5,0,1,0.000,0.055,6942,7104
1,0,151,armflash,armjanus,2,west,1,11,5,1210,1200,y,wiped,23.0,8.0,0,2,0.000,0.046,10390,5151
2,1,1,corthud,corlevlr,3,east,1,8,5,1120,1100,y,wiped,23.0,12.0,0,5,0.000,0.536,9808,3377
2,0,1,armstump,armstump,3,east,1,5,5,1125,1125,x,wiped,38.5,8.5,2,0,0.051,0.000,9030,9597
2,1,2,armjanus,corgator,0,west,0,5,10,1200,1200,x,wiped,32.0,8.5,2,0,0.008,0.000,5358,9869
2,1,3,corak,cormist,2,west,1,29,8,1247,1240,x,wiped,28.0,8.0,24,0,0.421,0.000,4921,7105
2,0,2,corcrash,armllt,1,east,0,10,15,1250,1275,y,wiped,82.0,14.5,0,15,0.000,0.999,6478,5
2,1,4,armham,armjeth,3,east,1,9,9,1170,1125,x,wiped,22.5,10.5,9,0,0.995,0.000,45,6335
2,1,5,armjeth,corlevlr,2,west,1,7,4,875,880,y,wiped,16.0,11.0,0,4,0.000,0.934,5127,396
2,0,3,corstorm,corllt,3,east,1,9,11,990,990,x,wiped,53.5,16.5,5,0,0.363,0.000,4376,8054
2,1,6,armwar,corraid,3,east,1,5,6,1350,1410,x,wiped,35.5,8.5,1,0,0.024,0.000,8354,12472
2,0,4,corcrash,corllt,0,west,0,10,14,1250,1260,y,wiped,62.0,14.5,0,14,0.000,0.997,6513,24
2,1,7,armart,corwolv,3,east,1,10,8,1350,1360,y,wiped,53.0,15.0,0,2,0.000,0.199,7107,5443
2,0,5,armflash,cormist,2,west,1,7,5,770,775,x,wiped,18.0,7.0,7,0,0.702,0.000,1566,4382
2,1,8,armstump,armjanus,2,west,1,5,5,1125,1200,y,wiped,25.5,10.0,0,4,0.000,0.210,10052,4252
2,0,6,corraid,corllt,2,west,1,5,13,1175,1170,x,wiped,50.0,12.5,4,0,0.493,0.000,5176,9411
3,0,1,armjeth,armflash,3,east,1,7,8,875,880,y,wiped,17.5,7.5,0,8,0.000,0.972,4453,172
2,1,9,armrock,armllt,2,west,1,10,14,1200,1190,x,wiped,50.5,16.5,8,0,0.667,0.000,2522,9527
3,1,1,corthud,armllt,2,west,1,9,15,1260,1275,x,wiped,57.5,16.5,6,0,0.491,0.000,5182,10605
3,0,2,armrock,armwar,2,west,1,9,4,1080,1080,y,wiped,26.0,0.0,0,4,0.000,0.634,6663,2396
2,0,7,corak,armllt,2,west,1,28,14,1204,1190,y,wiped,34.5,12.0,0,5,0.000,0.234,8912,6747
2,1,10,armham,corcrash,1,east,0,9,9,1170,1125,x,wiped,19.5,9.5,9,0,0.994,0.000,57,6396
3,0,3,armrock,corthud,3,east,1,7,6,840,840,y,wiped,27.0,10.5,0,6,0.000,0.608,5348,2671
3,1,2,corak,corllt,0,west,0,27,13,1161,1170,y,wiped,48.0,10.0,0,2,0.000,0.130,8248,7659
2,1,11,armpw,corak,1,east,0,23,29,1242,1247,x,wiped,27.5,6.0,10,0,0.270,0.000,6489,8511
2,0,8,armrock,corstorm,3,east,1,10,11,1200,1210,y,wiped,47.5,10.5,0,3,0.000,0.237,7997,6800
3,0,4,armrock,corstorm,2,west,1,10,11,1200,1210,y,wiped,39.5,10.5,0,5,0.000,0.347,8023,5685
3,1,3,armham,corcrash,0,west,0,9,9,1170,1125,x,wiped,24.5,10.5,9,0,0.960,0.000,382,6613
2,1,12,armpw,armham,0,west,0,24,10,1296,1300,y,wiped,25.0,7.5,0,3,0.000,0.160,10535,8835
2,0,9,corstorm,corwolv,3,east,1,11,7,1210,1190,x,wiped,26.0,10.5,10,0,0.500,0.000,4321,5517
2,1,13,armrock,armart,2,west,1,9,8,1080,1080,x,wiped,29.0,10.0,9,0,0.627,0.000,2540,5116
3,1,4,corthud,corthud,0,west,0,9,9,1260,1260,x,wiped,43.0,10.5,4,0,0.149,0.000,8860,10791
3,0,5,corstorm,corllt,2,west,1,9,11,990,990,x,wiped,54.0,16.0,4,0,0.317,0.000,4713,8225
2,0,10,armart,cormist,1,east,0,8,7,1080,1085,y,wiped,45.0,7.5,0,4,0.000,0.447,5192,3661
2,1,14,armpw,armjeth,2,west,1,23,10,1242,1250,x,wiped,16.0,7.0,23,0,0.828,0.000,1516,6371
3,0,6,armjeth,corlevlr,3,east,1,7,4,875,880,y,wiped,15.5,10.5,0,4,0.000,0.971,5189,177
3,1,5,corstorm,corthud,1,east,0,10,8,1100,1120,y,wiped,34.5,10.5,0,7,0.000,0.316,8408,6337
2,0,11,armjeth,armstump,0,west,0,9,5,1125,1125,y,wiped,25.5,8.5,0,5,0.000,0.871,6572,1216
3,0,7,corak,corcrash,0,west,0,29,10,1247,1250,x,wiped,14.5,7.0,29,0,0.898,0.000,868,6499
3,1,6,armpw,armpw,2,west,1,22,22,1188,1188,y,wiped,21.5,7.0,0,5,0.000,0.087,8568,7791
2,1,15,armwar,corraid,1,east,0,5,6,1350,1410,x,wiped,49.0,7.5,1,0,0.011,0.000,8408,12555
2,0,12,armpw,corraid,2,west,1,26,6,1404,1410,y,wiped,23.5,7.0,0,6,0.000,0.271,10859,9015
3,1,7,armpw,armart,1,east,0,20,8,1080,1080,x,wiped,25.0,9.0,20,0,0.648,0.000,2788,5026
3,0,8,armpw,corllt,0,west,0,20,12,1080,1080,y,wiped,43.0,9.0,0,2,0.000,0.097,7881,7469
2,0,13,corak,corak,1,east,0,28,28,1204,1204,y,wiped,32.5,6.0,0,4,0.000,0.042,8308,7988
2,1,16,armstump,armllt,3,east,1,6,16,1350,1360,x,wiped,47.5,11.0,5,0,0.526,0.000,5212,10701
3,0,9,armham,armstump,2,west,1,7,4,910,900,x,wiped,31.5,9.0,3,0,0.312,0.000,5150,7572
3,1,8,corgator,armllt,0,west,0,10,14,1200,1190,x,wiped,39.0,10.5,6,0,0.462,0.000,4512,9123
2,1,17,armham,armart,0,west,0,9,9,1170,1215,x,wiped,24.5,10.5,9,0,0.746,0.000,2408,5741
3,0,10,armpw,corwolv,2,west,1,22,7,1188,1190,x,wiped,16.0,8.5,21,0,0.592,0.000,3515,5353
2,0,14,corstorm,armstump,1,east,0,10,5,1100,1125,y,wiped,43.5,8.5,0,3,0.000,0.210,8097,7438
3,1,9,corgator,corwolv,0,west,0,10,7,1200,1190,x,wiped,18.0,8.0,10,0,0.973,0.000,234,5318
2,1,18,corak,armjanus,1,east,0,28,5,1204,1200,y,wiped,24.0,7.5,0,4,0.000,0.178,12118,4438
