match,site,sequence,x,y,rep,x_end,x_team,n_x,n_y,metal_x,metal_y,winner,reason,seconds,contact_seconds,survivors_x,survivors_y,value_left_x,value_left_y,damage_taken_x,damage_taken_y
2,0,135,armwar,corfav,4,west,0,5,52,1350,1352,x,wiped,12.5,5.0,5,0,0.749,0.000,2082,5208
3,0,130,corthud,corthud,2,west,1,9,9,1260,1260,y,wiped,44.0,10.0,0,3,0.000,0.136,10690,8984
3,1,127,corlevlr,corwolv,7,east,1,6,8,1320,1360,x,wiped,18.5,12.5,6,0,0.607,0.000,3592,6741
2,1,127,armjeth,corllt,2,west,1,10,14,1250,1260,y,wiped,60.0,13.0,0,14,0.000,1.000,6453,1
3,1,128,armstump,corlevlr,5,east,0,5,5,1125,1100,y,wiped,17.0,9.5,0,4,0.000,0.774,9468,1675
3,0,131,corthud,armart,1,east,0,9,9,1260,1215,x,wiped,25.0,10.5,9,0,0.653,0.000,3581,6083
2,0,136,armham,armjeth,4,west,0,9,9,1170,1125,x,wiped,22.5,10.5,9,0,0.871,0.000,1228,6250
3,1,129,corak,corllt,2,west,1,27,13,1161,1170,y,wiped,33.0,9.5,0,2,0.000,0.052,8309,8380
2,0,137,armham,armart,4,west,0,9,9,1170,1215,x,wiped,24.5,10.5,9,0,0.577,0.000,4006,5799
3,0,132,corwolv,corwolv,3,east,1,7,7,1190,1190,y,wiped,37.5,14.5,0,3,0.000,0.221,6308,4607
3,1,130,armfav,corwolv,0,west,0,44,8,1364,1360,x,wiped,22.5,6.0,34,0,0.565,0.000,3131,6097
2,1,128,corwolv,armllt,2,west,1,7,14,1190,1190,y,wiped,64.5,17.5,0,3,0.000,0.094,5394,8834
3,0,133,corstorm,corgator,6,west,1,11,10,1210,1200,y,wiped,26.5,7.5,0,10,0.000,0.500,8448,4200
2,0,138,armham,armjanus,7,east,1,11,6,1430,1440,y,wiped,42.0,11.0,0,1,0.000,0.017,13189,6644
3,1,131,armflea,armstump,5,east,0,54,5,1134,1125,y,wiped,16.0,6.0,0,5,0.000,0.404,5913,5550
2,1,129,corraid,corwolv,6,west,1,5,7,1175,1190,x,wiped,33.5,10.5,3,0,0.351,0.000,6871,5730
3,1,132,armpw,corfav,3,east,1,22,46,1188,1196,x,wiped,13.0,5.5,16,0,0.391,0.000,5163,4507
3,0,134,corak,corllt,5,east,0,27,13,1161,1170,y,wiped,35.0,9.5,0,1,0.000,0.017,8610,8762
2,0,139,corraid,armllt,3,east,1,4,11,940,935,x,wiped,44.5,12.0,2,0,0.402,0.000,4877,7726
2,1,130,armham,armfav,7,east,1,9,38,1170,1178,x,wiped,15.5,5.5,8,0,0.588,0.000,3864,6088
3,1,133,armpw,corfav,6,west,1,22,46,1188,1196,x,wiped,14.0,5.0,17,0,0.398,0.000,5096,4478
3,0,135,armham,armfav,6,west,1,9,38,1170,1178,x,wiped,14.5,5.5,9,0,0.562,0.000,4077,7103
2,1,131,armart,corfav,7,east,1,9,47,1215,1222,y,wiped,17.5,6.0,0,30,0.000,0.463,5641,2943
2,0,140,corraid,corfav,6,west,1,5,45,1175,1170,x,wiped,18.0,6.0,5,0,0.529,0.000,4855,6101
3,0,136,armflash,corgator,6,west,1,11,10,1210,1200,y,wiped,17.5,6.0,0,6,0.000,0.258,8408,6335
3,1,134,armham,armllt,2,west,1,9,14,1170,1190,x,wiped,36.0,15.5,6,0,0.611,0.000,3557,9852
2,0,141,armfav,corraid,0,west,0,38,5,1178,1175,y,wiped,20.0,5.5,0,5,0.000,0.500,6366,5228
3,0,137,armfav,corgator,6,west,1,39,10,1209,1200,y,wiped,14.5,5.5,0,10,0.000,0.609,4709,3332
2,0,142,corcrash,corgator,1,east,0,10,10,1250,1200,y,wiped,19.5,7.5,0,10,0.000,0.920,6593,691
3,1,135,corgator,corllt,1,east,0,9,12,1080,1080,x,wiped,31.0,10.5,5,0,0.479,0.000,3913,8176
3,0,138,armflea,corcrash,0,west,0,59,10,1239,1250,x,wiped,29.0,6.0,31,0,0.437,0.000,2218,6441
2,1,132,armart,armllt,4,west,0,10,16,1350,1360,x,wiped,85.0,15.5,1,0,0.079,0.000,5903,11273
2,0,143,corak,corcrash,1,east,0,29,10,1247,1250,x,wiped,15.0,7.0,29,0,0.891,0.000,910,6470
3,1,136,corcrash,corfav,1,east,0,10,48,1250,1248,y,wiped,31.5,6.0,0,41,0.000,0.700,6437,1401
2,0,144,armham,armfav,3,east,1,9,38,1170,1178,x,wiped,16.5,5.5,7,0,0.434,0.000,5313,7035
2,1,133,armfav,corfav,4,west,0,38,45,1178,1170,y,wiped,22.5,4.5,0,13,0.000,0.220,4293,3400
3,0,139,armjeth,armfav,3,east,1,10,40,1250,1240,y,wiped,34.0,6.0,0,39,0.000,0.860,6336,607
3,1,137,corlevlr,corwolv,1,east,0,6,8,1320,1360,x,wiped,17.0,12.0,6,0,0.662,0.000,3075,6687
2,0,145,armpw,corthud,2,west,1,26,10,1404,1400,y,wiped,24.0,7.5,0,7,0.000,0.473,11183,6166
3,0,140,armrock,corstorm,7,east,1,10,11,1200,1210,y,wiped,40.0,10.0,0,4,0.000,0.329,8087,5825
2,0,146,armpw,armjeth,1,east,0,23,10,1242,1250,x,wiped,16.0,7.5,23,0,0.882,0.000,1043,6358
3,1,138,armstump,corwolv,7,east,1,6,8,1350,1360,x,wiped,32.5,9.5,4,0,0.265,0.000,8181,6671
2,1,134,armrock,corraid,0,west,0,10,5,1200,1175,y,wiped,58.0,9.0,0,1,0.000,0.142,8102,9282
2,1,135,armpw,armfav,1,east,0,22,38,1188,1178,x,wiped,11.5,5.0,16,0,0.467,0.000,4515,4291
3,0,141,armjanus,corllt,0,west,0,6,16,1440,1440,x,wiped,33.5,15.5,4,0,0.457,0.000,3381,13172
3,1,139,armrock,armwar,3,east,1,9,4,1080,1080,y,wiped,26.0,9.0,0,4,0.000,0.366,6778,4135
2,0,147,corak,corllt,1,east,0,27,13,1161,1170,y,wiped,36.5,9.0,0,1,0.000,0.012,8146,8735
2,1,136,armham,corcrash,4,west,0,9,9,1170,1125,x,wiped,22.0,9.5,9,0,0.920,0.000,769,6527
3,0,142,armflea,corwolv,2,west,1,57,7,1197,1190,x,wiped,22.0,7.0,17,0,0.135,0.000,4926,5335
3,1,140,corthud,corwolv,3,east,1,10,8,1400,1360,x,wiped,23.0,10.5,9,0,0.508,0.000,5773,6682
2,0,148,armham,armllt,4,west,0,9,14,1170,1190,x,wiped,33.0,16.5,7,0,0.633,0.000,3340,9481
2,1,137,armjanus,corfav,3,east,1,5,46,1200,1196,x,wiped,16.0,6.5,4,0,0.666,0.000,1817,11477
3,0,143,armham,cormist,0,west,0,6,5,780,775,x,wiped,26.5,8.5,6,0,0.679,0.000,1963,4699
3,1,141,corcrash,armfav,5,east,0,10,40,1250,1240,y,wiped,31.5,5.5,0,38,0.000,0.809,6448,840
2,1,138,armham,armstump,7,east,1,7,4,910,900,x,wiped,36.5,9.0,3,0,0.284,0.000,5344,7630
2,0,149,armham,corraid,7,east,1,9,5,1170,1175,x,wiped,49.5,9.5,3,0,0.166,0.000,8017,10615
2,1,139,corfav,armllt,1,east,0,46,14,1196,1190,y,wiped,14.5,6.0,0,12,0.000,0.660,6907,3068
3,0,144,armrock,cormist,5,east,0,9,7,1080,1085,x,wiped,32.0,8.5,7,0,0.450,0.000,3739,6614
3,1,142,corak,corraid,3,east,1,33,6,1419,1410,y,wiped,24.5,7.0,0,6,0.000,0.503,10843,6199
2,0,150,armpw,armstump,4,west,0,21,5,1134,1125,y,wiped,24.0,7.5,0,3,0.000,0.304,9072,6488
2,1,140,armwar,armart,5,east,0,4,8,1080,1080,x,wiped,21.0,9.5,4,0,0.566,0.000,2910,5042
2,0,151,armjanus,corlevlr,7,east,1,5,5,1200,1100,y,wiped,19.5,11.5,0,3,0.000,0.187,5751,6251
3,1,143,corak,armflash,7,east,1,28,11,1204,1210,y,wiped,23.0,6.0,0,5,0.000,0.162,8245,6984
3,0,145,corthud,corllt,2,west,1,9,14,1260,1260,x,wiped,37.5,16.0,6,0,0.625,0.000,3763,9934
2,1,141,armart,corraid,4,west,0,7,4,945,940,y,wiped,29.0,10.5,0,4,0.000,0.514,4766,4036
3,1,144,armflea,armllt,5,east,0,57,14,1197,1190,y,wiped,13.0,6.0,0,12,0.000,0.677,5248,2918
2,0,152,corthud,armflash,7,east,1,8,10,1120,1100,x,wiped,30.0,7.5,3,0,0.163,0.000,7697,8169
2,1,142,armflea,armflash,7,east,1,58,11,1218,1210,y,wiped,14.0,5.0,0,8,0.000,0.399,3871,5020
3,0,146,corthud,armfav,2,west,1,9,41,1260,1271,x,wiped,13.5,5.0,9,0,0.635,0.000,3718,7037
2,0,153,armflash,corlevlr,7,east,1,10,5,1100,1100,y,wiped,13.0,8.0,0,5,0.000,0.970,8193,225
2,1,143,armjeth,corthud,5,east,0,10,9,1250,1260,y,wiped,24.5,9.5,0,9,0.000,0.935,7326,671
2,0,154,corgator,corllt,3,east,1,9,12,1080,1080,x,wiped,31.0,10.5,5,0,0.425,0.000,4336,8282
3,0,147,armrock,armstump,1,east,0,11,6,1320,1350,y,wiped,39.0,9.0,0,3,0.000,0.231,8601,8798
2,1,144,armrock,armflash,5,east,0,10,11,1200,1210,y,wiped,24.5,8.5,0,7,0.000,0.340,7486,5751
3,1,145,corcrash,corllt,1,east,0,10,14,1250,1260,y,wiped,63.5,13.5,0,14,0.000,0.999,6494,8
2,0,155,armpw,corstorm,7,east,1,22,11,1188,1210,y,wiped,20.5,7.5,0,7,0.000,0.460,9948,4587
3,0,148,armflea,armstump,4,west,0,54,5,1134,1125,y,wiped,13.0,6.0,0,5,0.000,0.633,6069,3442
2,1,145,armpw,armpw,2,west,1,22,22,1188,1188,x,wiped,42.0,6.0,1,0,0.000,0.000,8545,8544
3,1,146,armrock,corcrash,1,east,0,10,10,1200,1250,x,wiped,28.0,9.5,10,0,0.753,0.000,1886,7393
3,0,149,armfav,corwolv,3,east,1,44,8,1364,1360,x,wiped,23.5,6.0,18,0,0.249,0.000,5294,6052
3,0,150,armjanus,armjanus,0,west,0,5,5,1200,1200,y,wiped,20.0,12.0,0,1,0.000,0.200,6446,4686
3,1,147,corak,corak,0,west,0,28,28,1204,1204,y,wiped,31.5,6.0,0,5,0.000,0.071,8255,7694
3,0,151,corak,corraid,5,east,0,33,6,1419,1410,y,wiped,23.5,7.0,0,6,0.000,0.500,10772,6240
3,1,148,armwar,corthud,0,west,0,4,8,1080,1120,y,wiped,37.5,9.0,0,1,0.000,0.022,6812,9101
3,0,152,armstump,armstump,2,west,1,5,5,1125,1125,x,wiped,37.5,8.5,2,0,0.264,0.000,7061,9547
4,0,1,corfav,armllt,4,west,0,46,14,1196,1190,y,wiped,15.5,6.0,0,12,0.000,0.617,5682,3461
4,1,1,armflash,armart,3,east,1,11,9,1210,1215,x,wiped,21.5,8.0,11,0,0.606,0.000,3364,5636
4,0,2,corwolv,armllt,0,west,0,7,14,1190,1190,x,wiped,38.5,-1.0,4,0,0.436,0.000,2999,10285
4,0,3,armflash,corgator,3,east,1,11,10,1210,1200,y,wiped,25.0,6.5,0,4,0.000,0.149,8463,7264
4,1,2,armart,armllt,6,west,1,10,16,1350,1360,y,wiped,85.5,15.0,0,9,0.000,0.221,6416,8759
4,0,4,corraid,cormist,6,west,1,6,9,1410,1395,x,wiped,35.0,8.0,6,0,0.648,0.000,4327,8364
4,1,3,corwolv,corwolv,0,west,0,7,7,1190,1190,draw,wiped,30.5,16.5,0,0,0.000,0.000,6271,5895
4,1,4,armstump,corlevlr,2,west,1,5,5,1125,1100,y,wiped,16.5,9.5,0,5,0.000,0.684,9511,2336
4,0,5,corgator,corraid,2,west,1,10,5,1200,1175,y,wiped,25.0,8.0,0,5,0.000,0.248,8828,7757
4,0,6,armwar,cormist,6,west,1,4,7,1080,1085,x,wiped,25.5,8.5,4,0,0.601,0.000,2587,6174
4,1,5,corthud,armllt,4,west,0,9,15,1260,1275,x,wiped,37.5,16.5,6,0,0.635,0.000,3681,10289
4,1,6,armham,corlevlr,4,west,0,10,6,1300,1320,y,wiped,20.5,11.5,0,5,0.000,0.673,10730,2950
4,0,7,corstorm,corwolv,0,west,0,11,7,1210,1190,x,wiped,27.5,11.0,6,0,0.260,0.000,7021,5827
5,1,1,armflea,armflash,5,east,0,58,11,1218,1210,y,wiped,17.0,5.0,0,9,0.000,0.359,3890,5351
4,1,7,corak,corwolv,0,west,0,28,7,1204,1190,x,wiped,23.5,8.5,28,0,0.682,0.000,2640,5313
5,0,1,armflash,corllt,0,west,0,9,11,990,990,x,wiped,32.5,8.5,2,0,0.143,0.000,5857,7525
4,0,8,armrock,corlevlr,6,west,1,11,6,1320,1320,y,wiped,19.0,12.0,0,6,0.000,0.781,8985,1941
5,1,2,corthud,cormist,3,east,1,10,9,1400,1395,x,wiped,29.5,5.0,9,0,0.676,0.000,3649,8496
4,0,9,armwar,armflash,1,east,0,4,10,1080,1100,x,wiped,18.0,7.0,4,0,0.378,0.000,4076,7654
5,0,2,armpw,armllt,4,west,0,22,14,1188,1190,y,wiped,30.0,9.5,0,2,0.000,0.030,9148,8804
4,1,8,corlevlr,armllt,0,west,0,5,13,1100,1105,x,wiped,32.0,20.0,3,0,0.528,0.000,3358,9185
4,0,10,armwar,armart,4,west,0,4,8,1080,1080,x,wiped,21.5,9.0,4,0,0.624,0.000,2516,5070
5,1,3,armham,armjanus,4,west,0,11,6,1430,1440,y,wiped,34.0,11.0,0,2,0.000,0.093,12483,6148
4,1,9,armwar,armflea,4,west,0,4,51,1080,1071,x,wiped,12.0,6.0,4,0,0.811,0.000,1259,3469
5,0,3,corwolv,corllt,5,east,0,8,15,1360,1350,x,wiped,70.0,16.5,2,0,0.152,0.000,5243,11505
4,0,11,armjeth,armflash,0,west,0,7,8,875,880,y,wiped,34.5,7.5,0,8,0.000,0.975,4445,155
5,1,4,armflea,corllt,1,east,0,56,13,1176,1170,y,wiped,38.0,8.5,0,4,0.000,0.169,6026,7093
4,1,10,armjanus,corllt,7,east,1,6,16,1440,1440,x,wiped,38.0,15.5,3,0,0.358,0.000,4050,12783
4,0,12,corcrash,armjanus,7,east,1,10,5,1250,1200,y,wiped,18.5,10.5,0,5,0.000,0.778,7377,1199
5,0,4,corak,cormist,5,east,0,29,8,1247,1240,x,wiped,27.5,8.0,18,0,0.353,0.000,5741,7112
4,1,11,armham,armstump,6,west,1,7,4,910,900,x,wiped,31.0,9.0,4,0,0.351,0.000,4856,7607
5,1,5,corthud,armjanus,5,east,0,10,6,1400,1440,y,wiped,35.0,11.5,0,3,0.000,0.132,13060,5742
